"filename", "language", "TypeScript", "CSS", "vue", "XML", "comment", "blank", "total"
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\editUser\editUser.vue", "vue", 0, 0, 107, 0, 0, 13, 120
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\fullInfoToure\fullInfoToure.css", "CSS", 0, 91, 0, 0, 0, 6, 97
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\fullInfoToure\fullInfoToure.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\fullInfoToure\fullInfoToure.vue", "vue", 0, 0, 205, 0, 0, 16, 221
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\loginPanel\loginPanel.css", "CSS", 0, 33, 0, 0, 0, 0, 33
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\loginPanel\loginPanel.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\loginPanel\loginPanel.vue", "vue", 0, 0, 38, 0, 0, 6, 44
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\shims-vue.d.ts", "TypeScript", 5, 0, 0, 0, 1, 1, 7
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\userdata.ts", "TypeScript", 20, 0, 0, 0, 0, 3, 23
"Total", "-", 188, 1059, 2856, 576, 9, 347, 5035
